abseil-cpp 20260817.0-2
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
giflib 6.1.3-2
git 2.55.0-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
go 2:1.27.1-1
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.2.0-1
gpm 1.20.7.r38.ge82d1a6-7
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugins-bad-libs 1.28.7-1
gst-plugins-base-libs 1.28.7-1
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.5-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtkmm-4.0 4.22.0-2
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.3-3
gvfs-mtp 1.60.3-3
gvim 9.2.1046-1
gzip 1.14-2
harfbuzz 14.5.0-1
hdf5 2.2.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.411-1
hwloc 2.14.0-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-2
hyprland 0.56.2-3
hyprland-guiutils 0.2.2-3
hyprlang 0.6.8-5
hyprlock 0.9.6-3
hyprtoolkit 0.5.4-6
hyprutils 0.14.2-1
hyprwire 0.3.1-3
iana-etc 20260617-1
icu 78.3-1
imath 3.2.3-1
imv 5.0.1-2
iniparser 4.3.0-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.1-1
jbigkit 2.1-8
jemalloc 1:5.4.0-1
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.8-1
kbd 2.10.0-1
keyutils 1.6.3-4
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kmod 34.2-1
krb5 1.22.2-1
l-smash 2.14.5-4
lame 4.0-1
lcms2 2.19.1-1
leancrypto 1.9.0-1
less 1:710-1
libaec 1.1.7-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.6-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcgif 0.5.4-1
libcloudproviders 0.4.1-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libde265 1.1.3-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.4-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgtop 2.41.3-2
libgudev 238-3
libheif 1.23.4-1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libinih 62-2
libinput 1.32.0-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.1-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.7.1-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmatio 1.5.30-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmtp 1.1.23-1
libmysofa 1.3.5-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.24-1
libnl 3.12.0-1
libnm 1.58.1-1
libnotify 0.8.8-1
libnsbmp 0.1.7-2
libnsgif 1.0.0-2
libnsl 2.0.1-2
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1
libopenmpt 0.8.9-1
libp11-kit 0.26.5-1
libpcap 1.11.0-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libraw 0.22.2-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.8.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.8-1
libtool 2.6.2-5
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.3-1
liburing 2.15-1
libusb 1.0.30-1
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libvdpau 1.5-4
libverto 0.3.2-6
libvips 8.18.6-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.17.0-1
libvterm 0.3.3-2
libwacom 2.20.0-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.4-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.2.6.arch2-1
linux-api-headers 7.2-1
linux-firmware 20260916-1
linux-firmware-amd 20260916-1
linux-firmware-amdgpu 20260916-1
linux-firmware-atheros 20260916-1
linux-firmware-broadcom 20260916-1
linux-firmware-cirrus 20260916-1
linux-firmware-intel 20260916-1
linux-firmware-mediatek 20260916-1
linux-firmware-nvidia 20260916-1
linux-firmware-other 20260916-1
linux-firmware-radeon 20260916-1
linux-firmware-realtek 20260916-1
linux-firmware-ti 20260916-1
linux-firmware-whence 20260916-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lua 5.5.1-1
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
man-db 2.13.1-2
man-pages 6.19-1
matugen 4.2.0-1
md4c 0.5.3-1
mdadm 4.6-2
mesa 1:26.2.3-1
mkinitcpio 42-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
muparser 2.3.5-2
nano 9.2-1
ncurses 6.6-2
neovim 0.12.5-1
nettle 4.0-1
networkmanager 1.58.1-1
nftables 1:1.1.7-3
noto-fonts 1:2026.09.01-1
npth 1.8-1
nspr 4.40-1
nss 3.129-1
numactl 2.0.19-1
nwg-look 1.1.1-3
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.44-1
os-prober 1.84-1
ostree 2026.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pipewire-session-manager 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.7-1
polkit 127-3
popt 1.19-2
portaudio 1:19.7.0-4
procps-ng 4.0.7-1
psmisc 23.7-2
pugixml 1.16-1
python 3.14.7-1
python-beautifulsoup4 4.15.0-1
python-gobject 3.56.3-1
python-html5lib 1.1-18
python-six 1.17.0-3
python-soupsieve 2.9.2-1
python-typing_extensions 4.16.0-1
python-webencodings 0.5.1-13
qoi r350.4461cc3-1
qt6-base 6.11.2-3
qt6-declarative 6.11.2-2
qt6-translations 6.11.2-1
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.6-1
rhash 1.4.6-1
ripgrep 15.2.0-1
rubberband 4.0.0-2
sbc 2.2-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.72-1
sdl3 3.4.16-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
slang 2.3.3-4
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
startup-notification 0.12-9
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
systemd 261.3-1
systemd-libs 261.3-1
systemd-sysvcompat 261.3-1
tar 1.35-5
tdb 1.4.15-2
texinfo 7.3-1
thunar 4.20.10-1
tinysparql 3.11.1-1
tomlplusplus 3.4.0-2
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.5.1-2
tumbler 4.20.2-2
tzdata 2026d-1
udisks2 2.11.2-1
unibilium 2.1.4-1
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
v4l-utils 1.32.0-2
vapoursynth 79-1
vid.stab 1.1.2-1
vim-runtime 9.2.1046-1
vmaf 3.2.1-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.357.0-1
wayland 1.26.0-1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5
which 2.25-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-9
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-2
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.4-1
xz 5.8.4-1
yay 13.0.1-1
yay-debug 13.0.1-1
yyjson 0.13.0-1
zeromq 4.3.5-3
zimg 3.0.6-2
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
